tm,warning_type,주의보_개수
2021-04-17,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-04-18,"건조주의보, 태풍주의보, 풍랑주의보, 한파주의보",4
2021-04-19,"건조주의보, 태풍주의보, 한파주의보",3
2021-04-20,"건조주의보, 태풍주의보, 한파주의보",3
2021-04-21,"건조주의보, 태풍주의보, 한파주의보",3
2021-04-22,"건조주의보, 태풍주의보, 한파주의보",3
2021-04-23,"건조주의보, 태풍주의보, 풍랑주의보, 한파주의보",4
2021-04-24,"건조주의보, 태풍주의보, 풍랑주의보, 한파주의보",4
2021-04-25,"건조주의보, 태풍주의보, 풍랑주의보, 한파주의보",4
2021-04-26,"건조주의보, 태풍주의보, 풍랑주의보, 한파주의보",4
2021-04-27,"태풍주의보, 한파주의보",2
2021-04-28,"태풍주의보, 한파주의보",2
2021-04-29,"태풍주의보, 한파주의보",2
2021-04-30,"강풍주의보, 태풍주의보, 풍랑주의보, 한파주의보",4
2021-05-01,"태풍주의보, 한파주의보",2
2021-05-02,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-05-03,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-05-04,"강풍주의보, 태풍주의보, 풍랑주의보, 한파주의보, 호우주의보",5
2021-05-05,"강풍주의보, 태풍주의보, 풍랑주의보, 한파주의보, 호우주의보",5
2021-05-06,"태풍주의보, 한파주의보",2
2021-05-07,"강풍주의보, 태풍주의보, 풍랑주의보, 한파주의보",4
2021-05-08,"건조주의보, 태풍주의보, 풍랑주의보, 한파주의보",4
2021-05-09,"건조주의보, 태풍주의보, 한파주의보",3
2021-05-10,"건조주의보, 태풍주의보, 한파주의보",3
2021-05-11,"건조주의보, 태풍주의보, 풍랑주의보, 한파주의보",4
2021-05-12,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-05-13,"태풍주의보, 한파주의보",2
2021-05-14,"태풍주의보, 한파주의보",2
2021-05-15,"태풍주의보, 한파주의보, 호우주의보",3
2021-05-16,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-05-17,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-05-18,"태풍주의보, 한파주의보",2
2021-05-19,"태풍주의보, 한파주의보",2
2021-05-20,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-05-21,"태풍주의보, 풍랑주의보, 한파주의보",3
