시군구,사고월,사고일,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
해운대구,10월,사망[명],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
해운대구,10월,부상[명],1,1,2,1,2,2,3,3,5,3,1,3,4,1,1,7,5,7,4,2,6,2,6,10,4,1,7,1,3,2,8
해운대구,10월,(중상자[명]),0,1,0,1,0,1,2,1,1,0,0,0,1,0,0,0,1,0,2,1,0,0,0,3,1,0,2,0,2,0,1
사하구,05월,사고[건],2,1,1,1,-,2,4,3,3,-,7,1,5,3,3,2,2,3,6,3,5,5,4,1,6,-,1,2,5,1,4
사하구,05월,사망[명],0,0,0,0,-,0,0,0,0,-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0
사하구,05월,부상[명],3,5,1,2,-,2,10,3,7,-,7,1,11,4,3,7,3,3,9,3,5,7,6,1,8,-,2,3,5,1,7
사하구,05월,(중상자[명]),0,3,1,1,-,0,2,0,0,-,1,0,1,1,0,2,0,2,2,1,2,0,1,0,1,-,1,0,2,1,3
사하구,06월,사고[건],4,1,2,4,2,3,3,1,2,2,1,2,3,1,-,2,1,4,3,1,1,4,5,3,1,1,2,1,2,2,-
사하구,06월,사망[명],0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
사하구,06월,부상[명],4,1,7,4,2,7,5,1,2,2,1,2,5,1,-,4,1,8,4,1,1,5,11,3,7,1,2,1,2,3,-
사하구,06월,(중상자[명]),2,1,0,2,0,3,0,0,1,1,0,1,0,0,-,0,0,2,3,1,0,2,2,2,5,1,0,1,1,1,-
사하구,07월,사고[건],2,5,5,4,3,2,6,1,2,3,4,3,2,2,2,4,3,1,2,3,2,2,3,2,3,1,5,1,3,-,1
사하구,07월,사망[명],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-,0
사하구,07월,부상[명],2,6,6,11,4,2,6,1,2,4,6,5,2,3,2,4,3,1,3,3,2,7,5,2,4,1,8,1,3,-,1
사하구,07월,(중상자[명]),2,2,3,1,3,0,1,0,0,2,3,1,2,0,1,1,0,0,1,1,0,4,1,2,0,0,3,0,0,-,0
사하구,08월,사고[건],1,-,3,4,6,6,1,1,3,2,3,5,3,7,1,3,2,4,2,3,4,3,1,1,2,3,1,6,4,4,4
사하구,08월,사망[명],0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
사하구,08월,부상[명],1,-,5,6,7,6,1,1,3,2,3,5,3,8,1,3,2,5,2,4,5,3,1,3,2,3,1,7,4,5,4
사하구,08월,(중상자[명]),0,-,0,0,1,2,0,0,1,0,1,3,1,4,1,1,0,1,1,1,1,1,0,1,0,1,0,2,1,1,0
사하구,09월,사고[건],-,1,6,7,1,1,1,-,1,4,1,6,4,3,7,2,1,2,2,4,5,2,3,3,6,2,1,3,6,2,-
사하구,09월,사망[명],-,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-
사하구,09월,부상[명],-,1,10,8,3,1,1,-,1,8,1,8,5,5,10,3,0,2,2,6,6,2,4,3,7,2,1,3,8,2,-
사하구,09월,(중상자[명]),-,0,2,1,2,0,0,-,1,0,0,1,1,2,4,0,0,1,0,2,1,0,0,2,0,1,0,0,1,0,-
사하구,10월,사고[건],3,3,1,3,2,2,1,2,1,4,-,3,4,3,2,2,1,4,4,3,5,2,4,1,-,3,2,6,3,8,3
사하구,10월,사망[명],0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0
사하구,10월,부상[명],3,6,3,3,2,5,1,2,2,11,-,6,4,3,2,3,1,9,4,4,7,2,4,1,-,6,2,6,7,12,8
사하구,10월,(중상자[명]),1,1,0,2,0,0,0,1,0,4,-,1,0,2,0,1,0,2,4,0,1,1,1,0,-,1,1,3,0,2,1
금정구,05월,사고[건],2,2,2,2,3,3,-,1,5,1,3,3,4,2,1,1,2,2,2,3,-,2,2,2,3,1,3,2,3,3,3
금정구,05월,사망[명],0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0
금정구,05월,부상[명],2,3,9,4,5,4,-,1,8,2,3,4,5,2,1,1,4,2,2,4,-,3,5,3,3,1,3,2,4,4,3
금정구,05월,(중상자[명]),0,0,0,1,0,1,-,0,2,0,0,0,0,0,1,0,0,1,0,0,-,0,0,0,2,1,1,0,0,1,0
금정구,06월,사고[건],6,6,2,3,2,3,4,1,2,2,-,1,1,1,1,3,6,4,1,6,3,1,4,2,6,2,2,1,4,4,-
금정구,06월,사망[명],0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
금정구,06월,부상[명],10,8,5,3,2,6,10,2,2,2,-,1,1,1,1,5,11,4,1,7,4,1,7,3,7,3,2,2,14,4,-
금정구,06월,(중상자[명]),2,3,3,0,1,0,1,1,0,0,-,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,2,-
금정구,07월,사고[건],5,5,1,4,2,1,5,5,3,2,2,1,-,5,1,2,5,2,4,2,4,3,3,3,2,2,7,-,2,1,1
금정구,07월,사망[명],0,0,0,0,1,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0
